vocab,property,endpointUrl
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.genome.jp/sparql/linkdb
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,https://semanticweb.cs.vu.nl/dss/sparql
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ldf.fi/ww1lod/sparql
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://tsu.eagle-i.net/sparqler/sparql
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#label,https://semanticweb.cs.vu.nl/verrijktkoninkrijk/sparql
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#domain,https://colil.dbcls.jp/sparql
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://taxref.mnhn.fr/sparql
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#broader,https://taxref.mnhn.fr/sparql
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#domain,http://data.mimo-db.eu/sparql
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#narrower,http://vocabulary.curriculum.edu.au/PoolParty/sparql/scot
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#propertyDisjointWith,http://wasabi.inria.fr/sparql
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#label,https://dati.isprambiente.it/sparql
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#versionIRI,https://lov.linkeddata.es/dataset/lov/sparql
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#broaderTransitive,https://joinup.ec.europa.eu/sparql
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#topDataProperty,http://sparql.datao.net/sparql
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#sameAs,https://clara.univ-nantes.fr/sparql
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#label,https://makg.org/sparql
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#sameAs,https://ld.cultural.jp/sparql
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#or,http://lov.okfn.org/dataset/lov/sparql
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#someValuesFrom,https://schema.gov.it/sparql
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#closeMatch,https://metadb.riken.jp/sparql
http://www.w3.org/2002/07/owl#,http://www.w3.org/2002/07/owl#equivalentClass,http://es.dbpedia.org/sparql
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#scopeNote,http://demo.openlinksw.com/sparql
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/1999/02/22-rdf-syntax-ns#value,http://metadb.riken.jp/sparql
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#definition,https://ld.cultural.jp/sparql
http://www.w3.org/ns/shacl#,http://www.w3.org/ns/shacl#name,https://semantic.eea.europa.eu/sparql
http://www.w3.org/1999/02/22-rdf-syntax-ns#,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,http://data.mimo-db.eu/sparql
http://www.w3.org/2004/02/skos/core#,http://www.w3.org/2004/02/skos/core#prefLabel,https://metadb.riken.jp/sparql
http://spinrdf.org/spin#,http://spinrdf.org/spin#returnType,http://lod.openlinksw.com/sparql
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#comment,https://knowledge.brc.riken.jp/sparql
http://www.w3.org/2000/01/rdf-schema#,http://www.w3.org/2000/01/rdf-schema#range,https://xn--slovnk-7va.gov.cz/sparql
