vocab,elem,endpointUrl
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,http://fr.dbpedia.org/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Catalog,https://data.europa.eu/euodp/sparqlep
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Linkset,https://linked.opendata.cz/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Distribution,http://db.artsdata.ca/repositories/artsdata
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Catalog,https://ts.glytoucan.org/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Catalog,https://dati.beniculturali.it/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Dataset,http://wikidata.demo.openlinksw.com/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Dataset,https://linkeddata.uriburner.com/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,https://api.druid.datalegend.net/datasets/IISG/Labourconflicts/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,https://zbw.eu/beta/sparql/stwv/query
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Catalog,https://data.mvcr.gov.cz/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,http://linkedgeodata.org/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,https://lov.okfn.org/dataset/lov/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Distribution,https://query.wikidata.org/bigdata/namespace/dcatap/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#CatalogRecord,https://lov.okfn.org/dataset/lov/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#TechnicalFeature,https://lod.openlinksw.com/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Distribution,https://lod.sztaki.hu/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#DatasetDescription,https://lod.openlinksw.com/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Catalog,https://lod.openlinksw.com/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,https://api.data.muziekweb.nl/datasets/muziekweborganization/Muziekweb/services/Muziekweb/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#DatasetDescription,https://cr.eionet.europa.eu/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Resource,http://demo.openlinksw.com/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Linkset,https://lov.okfn.org/dataset/lov/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,https://api.druid.datalegend.net/datasets/dataLegend/Clio-Infra/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#DataService,http://fr.dbpedia.org/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,https://www.foodie-cloud.org/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#CatalogRecord,https://www.foodie-cloud.org/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Dataset,http://uriburner.com/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#TechnicalFeature,https://cr.eionet.europa.eu/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#TechnicalFeature,http://resource.geolba.ac.at/PoolParty/sparql/GeologicTimeScale
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#CatalogRecord,https://lov.linkeddata.es/dataset/lov/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,https://dati.cultura.gov.it/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,https://lov.linkeddata.es/dataset/lov/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Linkset,http://ldf.fi/ww1lod/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Catalog,https://libris.kb.se/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,https://zbw.eu/beta/sparql/gnd/query
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,https://triplestore.iccu.sbn.it/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#DataService,http://wasabi.inria.fr/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,https://data.muziekweb.nl/MuziekwebOrganization/Muziekweb/sparql/Muziekweb
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Dataset,http://taxref.mnhn.fr/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,http://kaiko.getalp.org/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,http://weakg.i3s.unice.fr/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Linkset,https://ldf.fi/ww1lod/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Distribution,https://linked.opendata.cz/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,https://sparql.glyconavi.org/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,http://ldf.fi/ww1lod/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Linkset,https://dati.cultura.gov.it/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Linkset,https://lov.linkeddata.es/dataset/lov/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Role,http://lov.okfn.org/dataset/lov/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Catalog,https://landportal.org/sparql
http://www.w3.org/ns/dcat#,http://www.w3.org/ns/dcat#Resource,https://data.gov.cz/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,https://ldf.fi/ww1lod/sparql
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Dataset,http://db.artsdata.ca/repositories/artsdata
http://rdfs.org/ns/void#,http://rdfs.org/ns/void#Linkset,http://kaiko.getalp.org/sparql
